NAME_BOT,NAME_DE,FAMILY,NB_MIN_HEIGHT_CM,NB_MAX_HEIGHT_CM,NB_CONVIVIALITY,CAT_CONVIVIALITY,NB_MIN_PLANTS_IN_GROUP,NB_MAX_PLANTS_IN_GROUP,PLANTING_DISTANCE_CM,PLANTS_PER_M2,CAT_MIN_NEED_LIGHT,CAT_MAX_NEED_LIGHT,NB_MIN_NEED_LIGHT,NB_MAX_NEED_LIGHT,CAT_MIN_TIME_BLOSSOM,NB_MIN_TIME_BLOSSOM,CAT_MAX_TIME_BLOSSOM,NB_MAX_TIME_BLOSSOM,CAT_WINTERHARDY,NB_WINTERHARDY,NB_TOXIC,CAT_TOXIC,IS_FRAGRANT,IS_SUITABLE_CUT,IS_STERILE,IS_WINTERGREEN,IS_NATIVE,IS_FOR_INSECTS,IS_FOR_BEES,IS_FOR_BUMBLEBEES,IS_FOR_BUTTERFLIES,PRIMARY_COLOR_EN,PRIMARY_COLOR_DE,COLOR_LIST,AVG_HEIGHT_CM,AVG_NEED_LIGHT
Alcea Ficifolia-Hybride,Feigenblättrige Stockrose,Malvaceae,150,200,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,June,6,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pink,rosa,gelb|rosa|weiß|rot,175,4
Alcea Rosea-Hybriden 'Simplex',Einfache Stockrose,Malvaceae,180,200,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,pink,rosa,gelb|rosa|weiß|rot,190,4
Alcea rosea 'Nigra',Schwarze Stockrose,Malvaceae,180,200,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,black,schwarz,rot,190,4
Althaea officinalis,"Echter Eibisch, Samtpappel",Malvaceae,150,200,1,alone - very small group,1,3,90,1,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,white,weiß,violett |rosa,175,4
Cimicifuga dahurica,August-Silberkerze,Ranunculaceae,200,200,1,alone - very small group,1,3,100,1,mostly shady,mostly sunny,2,3,August,8,October,10,winterhardy,2,1,toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,white,weiß, weiß,200,2
Clematis x jouiniana 'Praecox',Teppich-Waldrebe,Ranunculaceae,30,200,1,alone - very small group,1,3,80,1,mostly shady,very sunny,2,4,August,8,September,9,winterhardy given some support,1,1,toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,white,weiß,blau|weiß,115,3
Inula helenium,Echter Alant,Asteraceae,180,200,1,alone - very small group,1,3,120,1,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,yellow,gelb,gelb,190,4
Lathyrus latifolius 'Rosa Perle',Stauden-Wicke,Fabaceae,150,200,1,alone - very small group,1,3,100,1,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,1,toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa,175,3
Lathyrus latifolius 'Rote Perle',Stauden-Wicke,Fabaceae,150,200,1,alone - very small group,1,3,100,1,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,1,toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,pink,rosa,rot,175,3
Lathyrus latifolius 'Weiße Perle',Stauden-Wicke,Fabaceae,150,200,1,alone - very small group,1,3,100,1,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,1,toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,white,weiß,weiß,175,3
Lilium lancifolium var. splendens,Tiger-Lilie,Liliaceae,170,200,2,small group,3,10,30,11,mostly sunny,very sunny,3,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,pink,rosa,orange |rot,185,4
Molinia arundinacea 'Fontäne',Hohes Pfeifengras,Poaceae,60,200,1,alone - very small group,1,3,120,1,mostly shady,very sunny,2,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,green,grün,braun,130,3
Rheum palmatum var. tanguticum,"Kron-Rhabarber, Sibirischer Zier-Rhabarber, Chinesischer Rhabarber",Polygonaceae,80,200,1,alone - very small group,1,3,130,1,very sunny,very sunny,4,4,May,5,July,7,winterhardy given some support,1,1,toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,yellow,gelb,rot,140,4
Telekia speciosa,Telekie,Asteraceae,150,200,1,alone - very small group,1,3,100,1,mostly shady,very sunny,2,4,June,6,August,8,winterhardy given some support,1,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,gelb,gelb,175,3
Typha angustifolia,Schmalblättriger Rohrkolben,Typhaceae,100,200,2,small group,3,10,80,1,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,green,grün,braun,150,4
Typha latifolia,Breitblättriger Rohrkolben,Typhaceae,100,200,2,small group,3,10,80,1,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,green,grün,braun,150,4
Vitex agnus-castus,Mönchspfeffer,Verbenaceae,150,200,1,alone - very small group,1,3,80,1,very sunny,very sunny,4,4,August,8,September,9,winterhardy given some support,1,1,toxic,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,blue,blau,blau,175,4
Vitex agnus-castus 'Albus',"Mönchspfeffer, Keuschbaum",Verbenaceae,150,200,1,alone - very small group,1,3,80,1,very sunny,very sunny,4,4,August,8,September,9,winterhardy given some support,1,1,toxic,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,white,weiß,weiß,175,4
Aruncus dioicus,Wald-Geißbart,Rosaceae,100,180,1,alone - very small group,1,3,100,1,very shady,mostly shady,1,2,June,6,July,7,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,white,weiß,weiß,140,2
Delphinium Elatum-Hybride 'Berghimmel',Hoher Rittersporn,Ranunculaceae,180,180,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,June,6,June,6,winterhardy,2,3,extremely toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,blue,blau,blau,180,4
Helianthus microcephalus,Stauden-Sonnenblume,Asteraceae,180,180,1,alone - very small group,1,3,100,1,very sunny,very sunny,4,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,gelb,gelb,180,4
Molinia arundinacea 'Cordoba',Hohes Pfeifengras,Poaceae,60,180,1,alone - very small group,1,3,120,1,mostly shady,very sunny,2,4,August,8,October,10,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,green,grün,grün,120,3
Levisticum officinale,"Liebstöckel, Maggikraut",Apiaceae,100,170,1,alone - very small group,1,3,80,1,mostly shady,very sunny,2,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,white,weiß,grün,135,3
Peucedanum officinale,"Echter Haarstrang, Arznei-Haarstrang",Apiaceae,50,170,1,alone - very small group,1,3,100,1,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,white,weiß,gelb,110,4
Aster novae-angliae 'Barr's Blue',Raublatt-Aster,Asteraceae,130,160,1,alone - very small group,1,3,90,1,very sunny,very sunny,4,4,September,9,October,10,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,blue,blau,violett|blau,145,4
Eupatorium fistulosum 'Augustrubin',Kleiner Purpurdost,Asteraceae,130,160,1,alone - very small group,1,3,100,1,mostly shady,very sunny,2,4,August,8,October,10,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pink,rosa,rot,145,3
Allium altissimum 'Goliath',Zier-Lauch,Alliaceae,80,150,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,May,5,June,6,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,purple,violett,violett,115,4
Centaurea macrocephala,Riesen-Flockenblume,Asteraceae,100,150,1,alone - very small group,1,3,100,1,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,yellow,gelb,gelb,125,4
Clematis recta,Aufrechte Stauden-Waldrebe,Ranunculaceae,130,150,1,alone - very small group,1,3,80,1,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,1,toxic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,white,weiß,weiß,140,3
Filipendula ulmaria,Sumpf-Mädesüß,Rosaceae,60,150,3,bigger groups,10,20,45,4,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,white,weiß, weiß,105,3
Foeniculum vulgare,Gewürz-Fenchel,Apiaceae,120,150,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,yellow,gelb,gelb,135,4
Foeniculum vulgare 'Rubrum',Bronze-Fenchel,Apiaceae,120,150,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,red,rot,gelb,135,4
Gentiana lutea,Gelber Enzian,Gentianaceae,100,150,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,July,7,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,yellow,gelb,gelb,125,4
Lavatera thuringiaca,Thüringer Strauchpappel,Malvaceae,120,150,1,alone - very small group,1,3,80,1,very sunny,very sunny,4,4,July,7,September,9,winterhardy given some support,1,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,pink,rosa,rosa,135,4
Molopospermum peloponnesiacum,Striemendolde,Apiaceae,100,150,1,alone - very small group,1,3,80,1,mostly sunny,very sunny,3,4,June,6,July,7,winterhardy given some support,1,0,not toxic,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,white,weiß,gelb |grün,125,4
Phlox paniculata 'Monte Cristallo',Hoher Sommer-Phlox,Polemoniaceae,130,150,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,white,weiß, weiß,140,3
Rosa gallica 'Tuscany',"Gallica-Rose, ""Samt-Rose""",Rosaceae,150,150,1,alone - very small group,1,3,120,1,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,0,not toxic,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,red,rot,rot,150,3
Rosa moschata 'Ballerina',Moschata-Rose,Rosaceae,90,150,1,alone - very small group,1,3,100,1,very sunny,very sunny,4,4,June,6,October,10,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pink,rosa,rosa,120,4
Tanacetum macrophyllum,Schafgarben-Margerite,Asteraceae,100,150,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,June,6,July,7,winterhardy given some support,1,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,gelb,weiß|gelb,125,4
Thalictrum flavum ssp. glaucum,Gelbe Wiesenraute,Ranunculaceae,120,150,1,alone - very small group,1,3,70,2,mostly shady,very sunny,2,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,white,weiß,gelb,135,3
Thalictrum lucidum,Hohe Wiesenraute,Ranunculaceae,150,150,1,alone - very small group,1,3,100,1,very sunny,very sunny,4,4,June,6,July,7,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,white,weiß,gelb,150,4
Verbascum densiflorum,Großblütige Königskerze,Scrophulariaceae,150,150,1,alone - very small group,1,3,100,1,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,yellow,gelb,gelb,150,4
Verbena bonariensis,Patagonisches Eisenkraut,Verbenaceae,100,150,2,small group,3,10,35,8,very sunny,very sunny,4,4,July,7,October,10,not winterhardy,0,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,purple,violett,violett|blau,125,4
Verbena macdougalii 'Lavender Spires',Kandelaber-Eisenkraut,Verbenaceae,100,150,2,small group,3,10,35,8,very sunny,very sunny,4,4,July,7,October,10,winterhardy given some support,1,0,not toxic,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,purple,violett,blau,125,4
Veronicastrum Hybride 'Adoration',Kandelaber-Ehrenpreis,Scrophulariaceae,140,150,1,alone - very small group,1,3,70,2,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,purple,violett,rosa|violett,145,3
Allium Hybride 'Forelock',Zier-Lauch,Alliaceae,140,140,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,June,6,July,7,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,purple,violett,rot,140,4
Angelica gigas,Rote Engelwurz,Apiaceae,80,140,1,alone - very small group,1,3,100,1,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,1,toxic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,violett,rot,110,4
Aster laevis 'Calliope',Glatte Aster,Asteraceae,120,140,1,alone - very small group,1,3,60,2,mostly shady,very sunny,2,4,October,10,November,11,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pink,rosa,violett,130,3
Aster novae-angliae 'Herbstschnee',Raublatt-Aster,Asteraceae,120,140,1,alone - very small group,1,3,90,1,very sunny,very sunny,4,4,August,8,October,10,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,white,weiß, weiß,130,4
Aster novae-angliae 'Rosa Sieger',Raublatt-Aster,Asteraceae,130,140,1,alone - very small group,1,3,90,1,very sunny,very sunny,4,4,September,9,October,10,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa,135,4
Euphorbia palustris,Sumpf-Wolfsmilch,Euphorbiaceae,80,140,1,alone - very small group,1,3,70,2,mostly shady,very sunny,2,4,May,5,June,6,winterhardy,2,1,toxic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,green,grün,gelb,110,3
Helenium Hybride 'Ragamuffin',Sonnenbraut,Asteraceae,120,140,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,red,rot,rot|orange|gelb,130,4
Heliopsis helianthoides var. scabra 'Venus',Sonnenauge,Asteraceae,120,140,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,yellow,gelb,gelb,130,4
Monarda didyma 'Squaw',Goldmelisse,Lamiaceae,120,140,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,red,rot,rot,130,4
Silphium mohrii,Kompasspflanze,Asteraceae,120,140,2,small group,3,10,55,3,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,gelb,gelb,130,4
Eupatorium cannabinum,"Wasserdost, Kunigundenkraut",Asteraceae,130,130,1,alone - very small group,1,3,80,1,mostly shady,very sunny,2,4,July,7,September,9,winterhardy,2,1,toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,white,weiß,rosa,130,3
Phlox paniculata 'Chione',Kleinblütiger Hoher Sommer-Phlox,Polemoniaceae,100,130,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,white,weiß, weiß,115,3
Tanacetum vulgare,Rainfarn,Asteraceae,100,130,2,small group,3,10,70,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,1,toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,yellow,gelb,gelb,115,4
Achillea filipendulina 'Parker',Schafgarbe,Asteraceae,120,120,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,gelb,gelb,120,4
Aconitum napellus,Blauer Berg-Eisenhut,Ranunculaceae,120,120,1,alone - very small group,1,3,40,6,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,3,extremely toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,blue,blau,violett|blau,120,3
Carex pendula,"Riesen-Segge, Hängende Segge",Cyperaceae,50,120,2,small group,3,10,80,1,very shady,mostly shady,1,2,June,6,July,7,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,green,grün,braun,85,2
Agastache Hybride 'Ayala',Duftnessel,Lamiaceae,80,120,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,October,10,winterhardy given some support,1,0,not toxic,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,purple,violett,violett|rosa,100,4
Agastache Rugosa-Hybride 'Black Adder',Dunkle Blaunessel,Lamiaceae,90,120,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,July,7,September,9,winterhardy given some support,1,0,not toxic,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,purple,violett,blau|violett,105,4
Anemone tomentosa 'Septemberglanz',Herbst-Anemone,Ranunculaceae,90,120,2,small group,3,10,45,4,mostly shady,very sunny,2,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,violett,rosa,105,3
Angelica sylvestris 'Vicar's Mead',Purpur-Engelwurz,Apiaceae,90,120,1,alone - very small group,1,3,150,1,mostly shady,very sunny,2,4,July,7,September,9,winterhardy given some support,1,1,toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,white,weiß,rosa,105,3
Anthriscus sylvestris 'Ravenswing',Purpur-Wiesen-Kerbel,Apiaceae,60,120,2,small group,3,10,50,4,very sunny,very sunny,4,4,April,4,June,6,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,black,schwarz,weiß,90,4
Artemisia absinthium,Echter Wermut,Asteraceae,80,120,1,alone - very small group,1,3,45,4,very sunny,very sunny,4,4,July,7,September,9,winterhardy given some support,1,1,toxic,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,yellow,gelb,gelb,100,4
Artemisia vulgaris,Beifuß,Asteraceae,60,120,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,yellow,gelb,gelb,90,4
Lunaria rediviva,"Ausdauerndes Silberblatt, Mondviole",Brassicaceae,80,120,2,small group,3,10,55,3,very shady,mostly shady,1,2,May,5,June,6,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,white,weiß,violett,100,2
Aster novae-angliae 'Alma Pötschke',Raublatt-Aster,Asteraceae,80,120,1,alone - very small group,1,3,90,1,very sunny,very sunny,4,4,August,8,October,10,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,pink,rosa,rosa,100,4
Aster novi-belgii 'Schöne von Dietlikon',Glattblatt-Aster,Asteraceae,100,120,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,August,8,October,10,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,violett|blau,110,4
Cirsium rivulare 'Atropurpureum',Purpur-Kratzdistel,Asteraceae,70,120,2,small group,3,10,70,2,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,rot,rot|violett,95,4
Cirsium rivulare 'Frosted Magic',Weiße Kratzdistel,Asteraceae,70,120,2,small group,3,10,70,2,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,white,weiß,weiß,95,4
Cortia wallichiana,"Himalaya Silge, Königin der Doldenblütler",Apiaceae,80,120,1,alone - very small group,1,3,80,1,mostly sunny,very sunny,3,4,July,7,August,8,winterhardy given some support,1,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,white,weiß,weiß,100,4
